,num_features,alpha_0.0001,alpha_0.001,alpha_0.01,alpha_1
0,10,"-19.8798 (-111.8145, 0.7465)","-18.2671 (-113.2379, 0.7962)","-17.3385 (-112.7465, 0.7712)","-16.3861 (-114.3510, 0.7959)"
1,20,"-16.4854 (-114.7734, 0.7944)","-17.8978 (-123.3390, 0.7688)","-17.1983 (-134.3373, 0.7651)","-18.5249 (-115.0996, 0.7895)"
2,30,"-17.7174 (-104.7837, 0.7986)","-18.6395 (-118.1476, 0.7744)","-16.4465 (-99.5108, 0.7356)","-19.0105 (-115.9961, 0.7786)"
3,40,"-17.8293 (-115.3463, 0.7634)","-19.1238 (-126.2237, 0.7644)","-15.8231 (-119.1902, 0.7751)","-16.8024 (-109.4586, 0.7768)"
