,num_features,alpha_0.0001,alpha_0.001,alpha_0.01,alpha_1
0,10,"0.0889 (-0.9262, 0.5483)","0.0893 (-0.8899, 0.5490)","0.0747 (-0.9990, 0.5465)","0.0908 (-0.8514, 0.5606)"
1,20,"0.0704 (-0.9616, 0.5622)","0.0780 (-0.9986, 0.5542)","0.0805 (-0.9249, 0.5482)","0.0856 (-0.9635, 0.5469)"
2,30,"0.0863 (-0.9111, 0.5734)","0.0894 (-0.8997, 0.5454)","0.0818 (-0.9433, 0.5471)","0.1087 (-0.7202, 0.5473)"
3,40,"0.0875 (-0.9167, 0.5407)","0.0862 (-0.9895, 0.5737)","0.0717 (-0.9635, 0.5342)","0.0940 (-0.9016, 0.5536)"
