ID,Seed,Size S0,Size E0,Distributing S0 to Ss,Distributing E0 to Es,Size S by age-0,Size S by age-1,Size S by age-2,Size S by age-3,Size S by age-4,Size S by age-5,Size E by age-0,Size E by age-1,Size E by age-2,Size E by age-3,Size E by age-4,Size E by age-5,Transmissibility of B to A,Prob of hospitalization of B to A,Duration of infectiousness of B to A,Duration of E-0,Duration of E-1,Duration of I-0,Duration of I-1,Duration of Hosp-0,Duration of Hosp-1,Duration of R-0,Duration of R-1,Duration of vaccine immunity,Duration of infectiousness-0,Duration of infectiousness-1,R0s-0,R0s-1,Infectivity-0,Infectivity-1,Rates of leaving E-0,Rates of leaving E-1,Rates of leaving I-0,Rates of leaving I-1,Rates of leaving Hosp-0,Rates of leaving Hosp-1,Rates of leaving R-0,Rates of leaving R-1,Prob Hosp for 5-17,Relative prob hosp-0,Relative prob hosp-1,Relative prob hosp-2,Relative prob hosp-3,Relative prob hosp-4,Relative prob hosp-5,Importation rate-0,Importation rate-1,Importation rate-2,Importation rate-3,Importation rate-4,Importation rate-5,Prob novel strain params-0,Prob novel strain params-1,Prob novel strain params-2,Prob novel strain,Vaccination rate params-0,Vaccination rate params-1,Vaccination rate params-2,Vaccination rate params-3,Vaccination rate t_min by age-0,Vaccination rate t_min by age-1,Vaccination rate t_min by age-2,Vaccination rate t_min by age-3,Vaccination rate t_min by age-4,Vaccination rate t_min by age-5,Vaccination rate-0,Vaccination rate-1,Vaccination rate-2,Vaccination rate-3,Vaccination rate-4,Vaccination rate-5,Rate of losing vaccine immunity,PD Y1 thresholds-0,PD Y1 thresholds-1,Change in contacts - PD Y1,Change in contacts - PD Y1+,Matrix of change in contacts - PD Y1,Matrix of change in contacts - PD Y1+,Prob Hosp-age 0-0,Prob Hosp-age 0-1,Prob Hosp-age 1-0,Prob Hosp-age 1-1,Prob Hosp-age 2-0,Prob Hosp-age 2-1,Prob Hosp-age 3-0,Prob Hosp-age 3-1,Prob Hosp-age 4-0,Prob Hosp-age 4-1,Prob Hosp-age 5-0,Prob Hosp-age 5-1,Prob Death|Hosp-age0-0,Prob Death|Hosp-age0-1,Prob Death|Hosp-age1-0,Prob Death|Hosp-age1-1,Prob Death|Hosp-age2-0,Prob Death|Hosp-age2-1,Prob Death|Hosp-age3-0,Prob Death|Hosp-age3-1,Prob Death|Hosp-age4-0,Prob Death|Hosp-age4-1,Prob Death|Hosp-age5-0,Prob Death|Hosp-age5-1,Logit of prob death in Hosp0-0,Logit of prob death in Hosp0-1,Logit of prob death in Hosp1-0,Logit of prob death in Hosp1-1,Logit of prob death in Hosp2-0,Logit of prob death in Hosp2-1,Logit of prob death in Hosp3-0,Logit of prob death in Hosp3-1,Logit of prob death in Hosp4-0,Logit of prob death in Hosp4-1,Logit of prob death in Hosp5-0,Logit of prob death in Hosp5-1,Rate of death in Hosp0-0,Rate of death in Hosp0-1,Rate of death in Hosp1-0,Rate of death in Hosp1-1,Rate of death in Hosp2-0,Rate of death in Hosp2-1,Rate of death in Hosp3-0,Rate of death in Hosp3-1,Rate of death in Hosp4-0,Rate of death in Hosp4-1,Rate of death in Hosp5-0,Rate of death in Hosp5-1
6,2061486254,500000,3,[ 29926  94765 197205  96218  47855  34031],[0 2 1 0 0 0],29926,94765,197205,96218,47855,34031,0,2,1,0,0,0,1.8303688607401127,0.9201152631781808,1.401472441719496,0.01456875764401128,0.013178646908754053,0.012983989052389611,0.018196702840511673,0.03232857163434175,0.03802363890728043,1.4352733428132947,0.8808929639775185,1.0047512145670843,0.02755274669640089,0.03137534974926573,1.9074540690896729,3.4913445313537568,69.22918031031861,111.27667290578853,68.64003262564162,75.88032420352195,77.01793308397446,54.95501073819157,30.932390435020874,26.29942921661106,0.6967313961533552,1.1352117009593021,0.00290361349931733,0.8044322212797919,1,1.7170268344002766,3.348889075338192,3.955060736212567,12.113875987575682,15.6,49.14,102.7,49.92,24.96,17.68,7.658490454912548,1.7676043255678322,0.5183624845295999,0.5072470282392787,-5.579276709413079,2.2092068845785215,0.18570806855319333,2.6470023072995708,100,1.0404300422181576,1.3685793269027546,1.2541405244247181,0.8542039203745209,0.74833120213779,0,1.2213774935221486,1.2213774935221486,1.2213774935221486,1.2213774935221486,1.2213774935221486,0.9952712527258487,0.0003478045476151954,1.545992077883812e-05,-0.28885551150430816,-0.5488169580617832,[[-0.28885551]],[[-0.54881696]],0.002335760256993829,0.0021491686635850124,0.00290361349931733,0.0026716590990920833,0.004985582295054744,0.004587310365510775,0.009723879526868304,0.008947089969977354,0.011483967744286746,0.01056657400336414,0.0351740138465808,0.03236414700747967,0,0,0.0018978191143981485,0.0022563413703787978,0.02394994351459459,0.027096051095120963,0.08404447641976065,0.03477193850366996,0.1766548165667281,0.13229622250705775,0.18933433271006725,0.2605732964855565,0.0,0.0,0.0019014276801942668,0.002261443959942409,0.02453761808163238,0.027850694948479592,0.09175606703178334,0.036024583091549676,0.21455741786220714,0.15246703533929679,0.2335541522845228,0.3523990887089549,0.0,0.0,0.05881570338772507,0.059474685351838,0.7590071828464806,0.7324573804309662,2.8382344902090693,0.9474259730741343,6.636773820043713,4.009796003772373,7.224388226185182,9.267894889499402
7,292249176,500000,1,[ 30065  94127 197519  96056  48278  33955],[1 0 0 0 0 0],30065,94127,197519,96056,48278,33955,1,0,0,0,0,0,1.9297312594718474,1.4478177732520288,1.2129840101325184,0.01485537047953556,0.014268251364132362,0.013195095033196786,0.016005439287446716,0.031841016084568935,0.033878726268080965,0.9919545161595962,0.8482026841213273,0.6681965670958787,0.028050465512732346,0.030273690651579078,1.7227625651798624,3.3244687746754864,61.41654099814799,109.8137922110954,67.31572271304701,70.08567304286547,75.78573685783672,62.47876000406397,31.40603294015572,29.51704831188284,1.0081107386572041,1.1789634938917024,0.007134011034043449,0.6319285986990595,1,1.5486070179091354,2.9343426127803878,4.173035416454621,14.35010693354239,15.6,49.14,102.7,49.92,24.96,17.68,6.970725823964068,1.838806465994482,0.46078455175980754,0.4385371533507096,-6.575554023134885,2.2673871910857786,0.17387424053065104,2.3970986550948306,100,1.1838764585725252,1.3187770645205326,1.2143800577235677,1.0006156554975314,0.824027215486671,0,1.288789127539973,1.288789127539973,1.288789127539973,1.288789127539973,1.288789127539973,1.4965656054568015,0.0003514010369045715,0.0001571723314451687,-0.4295769546703611,-0.3079159930224054,[[-0.42957695]],[[-0.30791599]],0.004508185595846705,0.006527031230785647,0.007134011034043449,0.010328747969664188,0.011047779553160893,0.015995171592036696,0.02093363257723917,0.030308085304054544,0.029770480706441362,0.043102231085042415,0.10237382120359481,0.14821863785428996,0,0,0.003288733754857366,0.002341891244764985,0.030718358159402374,0.019766470050951522,0.06987877558698075,0.07087141096996921,0.1104980919956877,0.09283550451167877,0.22213629651830913,0.1892903353067277,0.0,0.0,0.003299585212121498,0.0023473885735133576,0.03169188070153725,0.020165062147975046,0.07512867543806435,0.07627729014770263,0.12422468237713101,0.10233591038161824,0.28557226095527377,0.23348720701182796,0.0,0.0,0.10362688186073847,0.06928798193115551,0.9953162492479642,0.5952131136338994,2.3594936555581167,2.2514804583892434,3.901404466716558,3.020654010774738,8.968691834356072,6.891853169574715
8,1686997841,500000,3,[ 30082  94430 197905  96042  47778  33763],[0 1 2 0 0 0],30082,94430,197905,96042,47778,33763,0,1,2,0,0,0,1.8839217208213048,0.7577321474569537,1.3965358576775142,0.013812126462697596,0.011610476724834725,0.008133301129404684,0.011358446668502666,0.030794171237036788,0.02765251930754819,1.1152695282193659,0.7220641267378985,1.2005506217837896,0.02194542759210228,0.022968923393337393,1.6676694947384565,3.141758784288869,75.99166103004606,136.78302332621303,72.40014799319276,86.12910767574317,122.95130649775842,88.04020736154283,32.47367796660426,36.16307031117538,0.896644241322181,1.3849185452789974,0.0014508340523638405,0.9463749624718321,1,1.4831302287950643,2.33364500841217,5.9325512533395495,12.292616587628435,15.6,49.14,102.7,49.92,24.96,17.68,7.238493968282344,1.870484989973782,0.4819315772213448,0.45598531259576536,-9.648582448828424,1.8859973392899883,0.23824154068659914,2.913834932524983,100,1.0054272444217345,1.3374397325458074,0.9281312035680385,1.1751939053725433,1.0930386413913193,0,0.3046381153516582,0.3046381153516582,0.3046381153516582,0.3046381153516582,0.3046381153516582,0.8329511324680258,0.00011237689056684407,0.0001380590198876554,-0.6810507515976314,-0.6010801838698443,[[-0.68105075]],[[-0.60108018]],0.0013730330218586855,0.0010403912601822923,0.0014508340523638405,0.0010993436021013274,0.002151775840026053,0.0016304697281089315,0.003385731644333277,0.0025654777095736173,0.0086071473757388,0.006521912264497044,0.017834546737983927,0.01351380939869397,0,0,0.0017256218994522884,0.0023375509630806806,0.0356083035749867,0.02316046778228331,0.06853330574208424,0.0625041553323974,0.1574451129976499,0.17815985122479217,0.19250871950719625,0.15312697825259733,0.0,0.0,0.0017286048177813506,0.0023430279102287606,0.036923071514392114,0.023709593048207366,0.07357569107361762,0.06667139453248327,0.18686629847677896,0.21678163507867632,0.23840346534727921,0.1808145664348139,0.0,0.0,0.05613415618415221,0.08473108305864899,1.1990279338962684,0.857411680451678,2.389273298095018,2.411042328222307,6.068235999546272,7.839489511521736,7.7418373598100425,6.538809879266867
9,1443447321,500000,3,[ 30047  94223 197495  96153  48045  34037],[0 0 1 2 0 0],30047,94223,197495,96153,48045,34037,0,0,1,2,0,0,1.4531510986607712,0.680485210082024,1.4229949840219531,0.010831009288009518,0.014818367102813902,0.009971911062173839,0.0141899794225864,0.032229374699841704,0.033083585704546864,1.1747968407005394,1.3405657385907586,0.71279426356923,0.020802920350183357,0.029008346525400304,1.501939744122662,2.182545389294124,72.19850476952021,75.23853134417855,92.32749907315205,67.48381876773097,100.28168058911706,70.47226568970814,31.02759545641795,30.226469673828745,0.8512110054736726,0.7459537202936641,0.005843822418801055,1.2888280132628067,1,1.4942482382447544,4.090596679719237,8.306670415936603,8.475648281779497,15.6,49.14,102.7,49.92,24.96,17.68,7.960688010815112,1.7537508893850857,0.5125911938084788,0.5040829432456455,-9.68505348517821,2.3496378354536214,0.021586301031586014,2.208836260977116,100,1.2464449059962175,1.1696827877117524,1.0165546539457604,1.156902171826275,0.7408293877202596,0,1.5332354157199086,1.5332354157199086,1.5332354157199086,1.5332354157199086,1.5332354157199086,1.4029293599988057,0.0003409077850627775,0.00011071753617590186,-0.6633476363633104,-0.329849635352603,[[-0.66334764]],[[-0.32984964]],0.007531682037884013,0.005125198233820509,0.005843822418801055,0.003976634726339878,0.008732121353908676,0.005942079433976273,0.023904720583216434,0.01626680880802212,0.048542706802241806,0.03303259403627361,0.049530183442935666,0.03370455728556726,0,0,0.00169909933558143,0.001378809314862419,0.02762726839563764,0.028454010627402243,0.11138400072806358,0.04968343978990952,0.20275203069830425,0.11412225259862471,0.14472077025857585,0.22171117289711995,0.0,0.0,0.0017019911876775785,0.0013807130548836447,0.028412220435320254,0.029287353289139915,0.12534548198470774,0.052280936553316296,0.25431489135794655,0.12882392963745817,0.1692087978125333,0.2848700446111023,0.0,0.0,0.05280869404164822,0.041734081281699933,0.8815628816856879,0.8852532960208962,3.8891689073112357,1.5802681432481798,7.890779567597247,3.8938926024500775,5.250142126194102,8.610615764419727
10,1581585360,500000,5,[ 29948  94839 196832  96081  48158  34142],[0 1 2 1 1 0],29948,94839,196832,96081,48158,34142,0,1,2,1,1,0,1.1542445760729128,0.7193501897640031,1.1619373337950363,0.014472548036892276,0.013767676770041537,0.01329481861940628,0.015447746099921538,0.035307892069089235,0.03162923244652107,0.8161859355592703,0.9131966157603801,0.8531199307261911,0.027767366656298555,0.029215422869963075,1.5698071075992714,1.8119413394271664,56.534244929674934,62.02002782886491,69.09633310256625,72.63389580557265,75.21727288105401,64.73436276927669,28.32227984732805,31.616322074549455,1.225211016794569,1.0950544304934182,0.0011588953260165576,1.381745482711646,1,2.3731147203863756,6.267797581990421,5.624412937823458,9.159736116298884,15.6,49.14,102.7,49.92,24.96,17.68,6.876440909761469,1.8029494869763596,0.5193937180210182,0.49880484938466196,-5.882566015497951,1.7898400205358542,0.11482065955357917,2.3134039865323013,100,1.012033219633417,1.2244165935685924,1.0056924820651305,1.0084086181573506,1.0511919347290828,0,0.2403916468182956,0.2403916468182956,0.2403916468182956,0.2403916468182956,0.2403916468182956,1.172168137191194,0.0002537895582364955,0.00026915165878948653,-0.7314982983942164,-0.37967809435697103,[[-0.7314983]],[[-0.37967809]],0.0016012983816590188,0.0011518942947152063,0.0011588953260165576,0.0008336515726866269,0.0027501915575568604,0.001978350818815887,0.00726372132218658,0.005225159311507752,0.006518105865230661,0.004688800691055538,0.010615175372723832,0.007636028418747061,0,0,0.0024177717384976207,0.0022504514224854725,0.02252660982081155,0.022192300779195834,0.0712700765230761,0.0863829137558759,0.13486187258915266,0.09373725379098387,0.2653728280507872,0.1864651664679905,0.0,0.0,0.002423631526306456,0.0022555273772801275,0.02304575249530017,0.02269597672106739,0.07673929171600223,0.09455045779736419,0.15588478685220147,0.10343275632049952,0.3612347026950608,0.2292036662504554,0.0,0.0,0.06864277033485827,0.07131148000805233,0.6527082514641502,0.7175633098097435,2.1734316952663586,2.989337726017562,4.415012557169135,3.2701633368873035,10.230990340295861,7.246576932841939
11,1428591347,500000,1,[ 30041  94968 197200  95774  48023  33994],[0 0 0 1 0 0],30041,94968,197200,95774,48023,33994,0,0,0,1,0,0,1.5883427097343548,0.6318565970867052,1.4831811625349225,0.013624779470398946,0.013007778000739725,0.009746875131654106,0.014456381588849463,0.031092736014932405,0.02831831186307836,0.8429192783050834,1.2911872526681596,1.4487451844356212,0.023371654602053052,0.02746415958958919,1.6907678876805825,2.6855188482504078,72.3426696341841,97.78266979152002,73.39568337033195,76.87708076991566,102.59698482772023,69.1736029416464,32.1618528366158,35.31283943884409,1.186353219979462,0.774481004156106,0.004541047557547849,0.8151731268441584,1,1.3114122420615173,3.8611103165879115,6.319968240964439,11.55837649371254,15.6,49.14,102.7,49.92,24.96,17.68,6.4506027542747155,1.8761796938709376,0.5308769316496456,0.49125919301155213,-7.967115291937673,1.84292344596366,0.12807221873788086,2.6179281573951583,100,1.340227564414937,1.1451241366109857,0.9052694993397374,1.0625347795203393,0.8585033291439099,0,0.21048723762893107,0.21048723762893107,0.21048723762893107,0.21048723762893107,0.21048723762893107,0.6902525100641241,0.00022661231446043534,8.530587937093392e-05,-0.6609615298519951,-0.2857003097161597,[[-0.66096153]],[[-0.28570031]],0.0037017399366343086,0.00233896879966171,0.004541047557547849,0.002869290856921078,0.005955185358751802,0.003762823155801483,0.017533485572564338,0.011078648528949343,0.028699276344411544,0.018133827089830853,0.05248713734599181,0.0331643439942609,0,0,0.002362180211103961,0.0012690824075938382,0.017166636842304645,0.01453384339821548,0.11327901175596292,0.09044509905034648,0.14268046467217246,0.11906006632151979,0.15113039283042198,0.19917053706498655,0.0,0.0,0.0023677733183810204,0.0012706950242945875,0.01746647751878389,0.014748191300991009,0.12775045731159243,0.09943885625366211,0.1664262375843487,0.13515117406968813,0.1780372292210372,0.24870530653933876,0.0,0.0,0.07615197701623583,0.04487184936865285,0.5617542795331857,0.5208005114252526,4.108691407865805,3.5114683648678673,5.35257616133948,4.772571709894165,5.726007165645833,8.782490557412169
12,602801999,500000,5,[ 29903  94410 197221  95936  48431  34099],[0 1 3 1 0 0],29903,94410,197221,95936,48431,34099,0,1,3,1,0,0,1.0613817452515024,0.5803458743209173,1.031432058462265,0.013341074188177822,0.01411464860675573,0.011683049336324108,0.012050271626080973,0.03363285752355586,0.0324762882379573,0.6685878991070152,0.710134197760338,1.1614415228049566,0.02502412352450193,0.026164920232836703,1.6691522929077796,1.771607773737006,66.70172848505398,67.70927478363403,74.95648295593385,70.84838084607841,85.5940920227796,82.98568123855837,29.732828954531076,30.79169616530347,1.4956896487890794,1.40818454195539,0.00765499306819802,0.8536893695304788,1,1.6691166253645584,3.9734951765655544,6.2554836318417575,8.3494083660879,15.6,49.14,102.7,49.92,24.96,17.68,8.106372235908339,1.7504583740819006,0.5896407707391088,0.5807830856558112,-8.046990872130142,1.617189657157952,0.04622514637585601,2.77738690314294,100,1.1801282673950144,1.0253621448772217,1.0724755696790855,0.8139742337443076,1.0064827908597125,0,0.06084315027620988,0.06084315027620988,0.06084315027620988,0.06084315027620988,0.06084315027620988,0.8609990088738477,0.0003627860860838751,0.00018626303516988397,-0.6725108441667729,-0.6286891155103106,[[-0.67251084]],[[-0.62868912]],0.006534986206150153,0.003792552283483345,0.00765499306819802,0.004442543645083941,0.012777076197179766,0.007415123456917272,0.030417078033127584,0.017652425745422997,0.047885683839974824,0.02779025905556521,0.06391466316595742,0.037092611076974494,0,0,0.002313681231463884,0.0023780949805579195,0.019573462372881878,0.02620412819084932,0.11262267825666512,0.11741658855365372,0.13815470389857593,0.18333148342768668,0.32023400432032745,0.21348309037002824,0.0,0.0,0.0023190467664422885,0.0023837637972790645,0.019964231507089394,0.026909261940252845,0.12691633592281518,0.13303738437734242,0.16030104767470651,0.2244870222218898,0.471094474209669,0.2714284813920459,0.0,0.0,0.06895182084418694,0.07340013057566701,0.5935930806089491,0.8285818176968301,3.7735817075288716,4.0964467183738185,4.7662036317441805,6.912336181310159,14.00697142310084,8.357743329633603
13,2055650130,500000,2,[ 30187  94560 196824  96270  47922  34237],[0 0 1 1 0 0],30187,94560,196824,96270,47922,34237,0,0,1,1,0,0,1.6981552688611585,1.3614514893887595,1.0138040717031385,0.012923478579295065,0.0104640714580765,0.008443803717749734,0.008560362589716779,0.031742782157484564,0.0329301804375243,0.8652248122745585,1.1683383594527177,0.8329167583775355,0.0213672822970448,0.01902443404779328,1.6473008278057204,2.7973725801376323,77.0945413134524,147.04104064857114,77.37854741386099,95.56509662672157,118.4300385734806,116.81748168018724,31.503224734326324,30.36727970249714,1.1557689814409458,0.8559164320072722,0.0032556842575497125,1.0038283299502546,1,1.2851153623933687,2.6686325001697,4.464335593027409,9.554675470810619,15.6,49.14,102.7,49.92,24.96,17.68,7.263861415655549,1.6778741983753795,0.48916954270394003,0.48246138487910534,-6.6773721205097,1.6592327142772103,0.08138387126093627,2.098292727815917,100,1.052024740076056,1.3417246848756257,0.9454403938236252,0.9712596080288278,0.9234019635008013,0,0.11575758386035581,0.11575758386035581,0.11575758386035581,0.11575758386035581,0.11575758386035581,1.2006001679542757,0.0002212025742855639,0.00018937015431021975,-0.27403711179488316,-0.28450800687876016,[[-0.27403711]],[[-0.28450801]],0.0032681480911014625,0.004449425086173117,0.0032556842575497125,0.004432456181420593,0.004183929854479384,0.005696217531879054,0.008688224819988023,0.011828596621317081,0.014534467110638194,0.01978797189525031,0.03110700651631452,0.04235068035206225,0,0,0.0014302121864269988,0.0018989480674313703,0.03455145359427412,0.0317085111932403,0.06056015246905197,0.09439166668196546,0.14636509896597363,0.13353941701908098,0.2005982638984001,0.20680317861887998,0.0,0.0,0.0014322606230241874,0.0019025609318360508,0.035787980336089306,0.03274686554594751,0.06446410872204027,0.10423012157598673,0.1714610060913377,0.15412059087519017,0.25093548692631945,0.26072113887041654,0.0,0.0,0.045120828285257215,0.05777559996810895,1.1274367873154727,0.9944332254138547,2.03082730436848,3.1651852553232707,5.401574608069106,4.680223091021029,7.905277038457447,7.917391748431538
14,2034131043,500000,1,[ 30253  94532 196721  96652  47859  33983],[1 0 0 0 0 0],30253,94532,196721,96652,47859,33983,1,0,0,0,0,0,1.8814588456595747,0.5640589028443719,1.2582396607096915,0.012253711655974598,0.014347233616576322,0.00922789186256585,0.011610899526220578,0.03717242055573379,0.03374826119440953,1.1866399188166334,0.8763925438641058,0.8077856498129813,0.02148160351854045,0.0259581331427969,2.0661948385875144,3.887460555916636,96.18438571423277,149.75886495887568,81.60792648588442,69.69984783997891,108.3671129758933,86.125971354909,26.90166486469904,29.631156231706896,0.842715624295904,1.1410412000892842,0.006471999964364709,0.733227345236191,1,1.8269675262779406,4.117127923739572,8.257573730226131,9.07259302406276,15.6,49.14,102.7,49.92,24.96,17.68,7.300701426905061,1.7242417511198247,0.44717838313229036,0.43880293004958526,-9.152800297253126,2.340426579357379,0.005349207379899801,2.693378713736133,100,1.279847134820483,1.287720155802732,1.179601424662851,0.939565936901825,0.8562838463758387,0,1.7875692414332887,1.7875692414332887,1.7875692414332887,1.7875692414332887,1.7875692414332887,1.237952172375828,4.4511323596780395e-05,6.077542992659385e-05,-0.6136657339386746,-0.4580899770694125,[[-0.61366573]],[[-0.45808998]],0.004745447352239859,0.0026767118270101444,0.006471999964364709,0.0036505891991083714,0.011824133764966311,0.0066695079185519895,0.02664605177572746,0.015029942729751158,0.05344301688776248,0.030145009470404542,0.05871782172842969,0.03312031010154947,0,0,0.00152068129197677,0.0018241567912060776,0.027689384155548738,0.02631553859534303,0.07766892002500966,0.07591492585286105,0.13325687670840908,0.11268407081502577,0.1994661032431975,0.2940563974501481,0.0,0.0,0.0015229972854564951,0.0018274904202670718,0.028477920228712636,0.027026762404505977,0.08420937092038112,0.08215144684911703,0.15374437146076855,0.12699430620898397,0.24916634267617294,0.4165437527700842,0.0,0.0,0.04097116256319701,0.0541506541548813,0.7661034660364607,0.800834219245139,2.265372274967226,2.4342423562469517,4.135979555871395,3.762988127815629,6.702989446237162,12.342673015671858
15,87950109,500000,3,[ 30127  94343 197527  95880  48178  33945],[1 0 1 0 1 0],30127,94343,197527,95880,48178,33945,1,0,1,0,1,0,1.0047439183729372,0.9187992876967594,1.2778816459169535,0.013771030346317686,0.013751347756372212,0.00944768452941884,0.012073022656557885,0.03565298003655784,0.04007603699457754,0.8329330049393711,1.3830577210053865,1.0765976771406263,0.023218714875736526,0.0258243704129301,1.796966395787085,1.80549105768761,77.39301702976285,69.91423329273546,72.61620770935238,72.7201447971972,105.84604057069564,82.82929871392355,28.048146297297457,24.952567044872833,1.2005767499545652,0.7230356223116051,0.007567036835752459,0.808544505575465,1,1.683743624918419,4.529865465113629,8.406296383193276,11.780867830313053,15.6,49.14,102.7,49.92,24.96,17.68,6.5252397309601,1.5341830124143478,0.436537943897032,0.4328976479696212,-9.68858207342492,1.7595881332488608,0.03614866878007211,2.211284494230691,100,1.232570057617843,1.1338474589711298,1.274067711233181,1.174375626438459,0.7565539308296926,0,0.052050137073365275,0.052050137073365275,0.052050137073365275,0.052050137073365275,0.052050137073365275,0.9288520876767403,0.0001027599183341264,6.0606672324999054e-05,-0.4115333341241425,-0.48868840305288164,[[-0.41153333]],[[-0.4886884]],0.006118286057034803,0.005621476871128591,0.007567036835752459,0.0069525880546644995,0.012740950031721049,0.011706375813725304,0.034277658835517776,0.03149428852198626,0.06361075438387619,0.05844551581775896,0.08914626082911002,0.08190752095061582,0,0,0.0018543358894798796,0.0026563012619158395,0.020427969170867873,0.019782197473922625,0.08518653560644655,0.05891354147939446,0.1708645325848736,0.1503511943890088,0.1562155700767273,0.16714840882366075,0.0,0.0,0.0018577808391647308,0.0026633759909214807,0.020853973498587107,0.02018143051773062,0.09311902253528621,0.0626016249049072,0.20607553204490556,0.17695687135214613,0.18513682468747655,0.2006941099645093,0.0,0.0,0.05210730876520841,0.06645806797917286,0.5849152995683352,0.5035784980551159,2.6118159671310464,1.5620712425576777,5.780036671088921,4.415528196465363,5.192744743851454,5.007833234400499
