,penalty,poly_degree,feature_selection_method,num_features,performance
0,"['l1', 1.0]",1,rfe,10,"-0.0269 (-0.0924, -0.0023)"
1,"['l1', 1.0]",1,rfe,20,"-0.0269 (-0.0924, -0.0023)"
2,"['l1', 1.0]",1,rfe,30,"-0.0269 (-0.0924, -0.0023)"
3,"['l1', 1.0]",1,rfe,40,"-0.0269 (-0.0924, -0.0023)"
4,"['l1', 1.0]",2,rfe,10,"-0.0221 (-0.0807, 0.0019)"
5,"['l1', 1.0]",2,rfe,20,"-0.0221 (-0.0807, 0.0019)"
6,"['l1', 1.0]",2,rfe,30,"-0.0221 (-0.0807, 0.0019)"
7,"['l1', 1.0]",2,rfe,40,"-0.0221 (-0.0807, 0.0019)"
8,"['l2', 1.0]",1,rfe,10,"0.2234 (-0.2018, 0.3859)"
9,"['l2', 1.0]",1,rfe,20,"0.0157 (-1.7164, 0.3544)"
10,"['l2', 1.0]",1,rfe,30,"-0.0035 (-1.7018, 0.3406)"
11,"['l2', 1.0]",1,rfe,40,"-0.0852 (-2.1702, 0.3229)"
12,"['l2', 1.0]",2,rfe,10,"0.2436 (-0.4649, 0.5394)"
13,"['l2', 1.0]",2,rfe,20,"0.2448 (-0.3721, 0.5802)"
14,"['l2', 1.0]",2,rfe,30,"0.2470 (-0.7219, 0.6368)"
15,"['l2', 1.0]",2,rfe,40,"0.3049 (-0.5679, 0.7148)"
16,"['None', 'None']",1,rfe,10,"0.1998 (-0.2035, 0.3701)"
17,"['None', 'None']",1,rfe,20,"-0.0795 (-2.3275, 0.3801)"
18,"['None', 'None']",1,rfe,30,"-0.0978 (-2.3359, 0.3642)"
19,"['None', 'None']",1,rfe,40,"-0.1383 (-2.4459, 0.3430)"
20,"['None', 'None']",2,rfe,10,"0.2818 (-0.1881, 0.4952)"
21,"['None', 'None']",2,rfe,20,"-0.0458 (-1.9552, 0.5277)"
22,"['None', 'None']",2,rfe,30,"-0.9213 (-8.4377, 0.5695)"
23,"['None', 'None']",2,rfe,40,"-0.5694 (-4.9504, 0.6072)"
