,penalty,poly_degree,feature_selection_method,num_features,performance
0,"['l1', 1.0]",1,rfe,10,"-0.0263 (-0.0986, -0.0024)"
1,"['l1', 1.0]",1,rfe,20,"-0.0263 (-0.0986, -0.0024)"
2,"['l1', 1.0]",1,rfe,30,"-0.0263 (-0.0986, -0.0024)"
3,"['l1', 1.0]",1,rfe,40,"-0.0263 (-0.0986, -0.0024)"
4,"['l1', 1.0]",2,rfe,10,"-0.0219 (-0.0850, 0.0029)"
5,"['l1', 1.0]",2,rfe,20,"-0.0219 (-0.0850, 0.0029)"
6,"['l1', 1.0]",2,rfe,30,"-0.0219 (-0.0850, 0.0029)"
7,"['l1', 1.0]",2,rfe,40,"-0.0219 (-0.0850, 0.0029)"
8,"['l2', 1.0]",1,rfe,10,"0.1536 (-0.0112, 0.3101)"
9,"['l2', 1.0]",1,rfe,20,"0.1468 (-0.0776, 0.2930)"
10,"['l2', 1.0]",1,rfe,30,"0.1370 (-0.0749, 0.2936)"
11,"['l2', 1.0]",1,rfe,40,"0.1011 (-0.1548, 0.2501)"
12,"['l2', 1.0]",2,rfe,10,"0.2217 (-0.0534, 0.4746)"
13,"['l2', 1.0]",2,rfe,20,"0.2729 (-0.0329, 0.5657)"
14,"['l2', 1.0]",2,rfe,30,"0.3052 (0.0595, 0.6226)"
15,"['l2', 1.0]",2,rfe,40,"0.3115 (0.0316, 0.6101)"
16,"['None', 'None']",1,rfe,10,"0.1461 (-0.0138, 0.3128)"
17,"['None', 'None']",1,rfe,20,"0.1506 (-0.0207, 0.3068)"
18,"['None', 'None']",1,rfe,30,"0.1326 (-0.0696, 0.2949)"
19,"['None', 'None']",1,rfe,40,"0.0944 (-0.1548, 0.2506)"
20,"['None', 'None']",2,rfe,10,"0.2217 (-0.0598, 0.4811)"
21,"['None', 'None']",2,rfe,20,"0.2532 (-0.1067, 0.5681)"
22,"['None', 'None']",2,rfe,30,"0.3252 (0.0932, 0.6263)"
23,"['None', 'None']",2,rfe,40,"0.3598 (0.1204, 0.6154)"
