,num_features,alpha_0.0001,alpha_0.001,alpha_0.01,alpha_1
0,10,"0.1566 (-0.5377, 0.4203)","0.1590 (-0.5772, 0.4216)","0.1615 (-0.5412, 0.4340)","0.1631 (-0.4980, 0.4556)"
1,20,"0.1584 (-0.6217, 0.4513)","0.1615 (-0.5586, 0.4367)","0.1565 (-0.5705, 0.4282)","0.1738 (-0.4452, 0.4485)"
2,30,"0.1662 (-0.5706, 0.4383)","0.1608 (-0.5759, 0.4507)","0.1693 (-0.4757, 0.4157)","0.1678 (-0.5257, 0.4496)"
3,40,"0.1614 (-0.5688, 0.4454)","0.1624 (-0.5550, 0.4584)","0.1554 (-0.6072, 0.4312)","0.1715 (-0.4371, 0.4503)"
