,penalty,num_features,performance
0,0.0001,10,"0.2608 (0.1492, 0.3679)"
1,0.0001,20,"0.2664 (0.1218, 0.3893)"
2,0.001,10,"0.2695 (0.1826, 0.3801)"
3,0.001,20,"0.2667 (0.1622, 0.3652)"
