,penalty,num_features,performance
0,0.0001,10,"0.1802 (0.0857, 0.3001)"
1,0.0001,20,"0.1867 (0.0732, 0.2908)"
2,0.001,10,"0.1852 (0.0965, 0.2847)"
3,0.001,20,"0.1852 (0.0753, 0.2922)"
