,num_features,alpha_0.0001,alpha_0.001,alpha_0.01,alpha_1
0,10,"-0.9768 (-7.1238, 0.7258)","-1.0083 (-7.1704, 0.7337)","-0.9962 (-7.5327, 0.7176)","-0.9768 (-7.1797, 0.7378)"
1,20,"-1.0160 (-7.4023, 0.7357)","-1.0232 (-7.3378, 0.7208)","-1.0327 (-7.5304, 0.7262)","-0.9776 (-6.8026, 0.7391)"
2,30,"-0.9728 (-7.3845, 0.7323)","-0.9847 (-7.1142, 0.7362)","-0.9874 (-6.7586, 0.7033)","-0.9207 (-6.5013, 0.7330)"
3,40,"-0.9599 (-7.4115, 0.7228)","-0.9890 (-7.2090, 0.7348)","-0.9885 (-6.5480, 0.7329)","-1.0114 (-6.4962, 0.7215)"
