Simulation Time,In: Susceptible-0-4yrs,In: Susceptible-5-19yrs,In: Susceptible-20-49yrs,In: Susceptible-50-64yrs,In: Susceptible-65-74yrs,In: Susceptible-75+yrs,In: Vaccinated-0-4yrs,In: Vaccinated-5-19yrs,In: Vaccinated-20-49yrs,In: Vaccinated-50-64yrs,In: Vaccinated-65-74yrs,In: Vaccinated-75+yrs,In: Exposed-0-4yrs-Current,In: Exposed-0-4yrs-Novel,In: Exposed-5-19yrs-Current,In: Exposed-5-19yrs-Novel,In: Exposed-20-49yrs-Current,In: Exposed-20-49yrs-Novel,In: Exposed-50-64yrs-Current,In: Exposed-50-64yrs-Novel,In: Exposed-65-74yrs-Current,In: Exposed-65-74yrs-Novel,In: Exposed-75+yrs-Current,In: Exposed-75+yrs-Novel,In: Infectious-0-4yrs-Current,In: Infectious-0-4yrs-Novel,In: Infectious-5-19yrs-Current,In: Infectious-5-19yrs-Novel,In: Infectious-20-49yrs-Current,In: Infectious-20-49yrs-Novel,In: Infectious-50-64yrs-Current,In: Infectious-50-64yrs-Novel,In: Infectious-65-74yrs-Current,In: Infectious-65-74yrs-Novel,In: Infectious-75+yrs-Current,In: Infectious-75+yrs-Novel,In: Hospitalized-0-4yrs-Current,In: Hospitalized-0-4yrs-Novel,In: Hospitalized-5-19yrs-Current,In: Hospitalized-5-19yrs-Novel,In: Hospitalized-20-49yrs-Current,In: Hospitalized-20-49yrs-Novel,In: Hospitalized-50-64yrs-Current,In: Hospitalized-50-64yrs-Novel,In: Hospitalized-65-74yrs-Current,In: Hospitalized-65-74yrs-Novel,In: Hospitalized-75+yrs-Current,In: Hospitalized-75+yrs-Novel,In: Recovered-0-4yrs-Current,In: Recovered-0-4yrs-Novel,In: Recovered-5-19yrs-Current,In: Recovered-5-19yrs-Novel,In: Recovered-20-49yrs-Current,In: Recovered-20-49yrs-Novel,In: Recovered-50-64yrs-Current,In: Recovered-50-64yrs-Novel,In: Recovered-65-74yrs-Current,In: Recovered-65-74yrs-Novel,In: Recovered-75+yrs-Current,In: Recovered-75+yrs-Novel,Total to: Death-0-4yrs-Current,Total to: Death-0-4yrs-Novel,Total to: Death-5-19yrs-Current,Total to: Death-5-19yrs-Novel,Total to: Death-20-49yrs-Current,Total to: Death-20-49yrs-Novel,Total to: Death-50-64yrs-Current,Total to: Death-50-64yrs-Novel,Total to: Death-65-74yrs-Current,Total to: Death-65-74yrs-Novel,Total to: Death-75+yrs-Current,Total to: Death-75+yrs-Novel,Population size,Population-0-4yrs,Population-5-19yrs,Population-20-49yrs,Population-50-64yrs,Population-65-74yrs,Population-75+yrs,Cumulative death,Cumulative death-0-4yrs,Cumulative death-5-19yrs,Cumulative death-20-49yrs,Cumulative death-50-64yrs,Cumulative death-65-74yrs,Cumulative death-75+yrs,Cumulative vaccination,Cumulative vaccination-0-4yrs,Cumulative vaccination-5-19yrs,Cumulative vaccination-20-49yrs,Cumulative vaccination-50-64yrs,Cumulative vaccination-65-74yrs,Cumulative vaccination-75+yrs,Cumulative death rate,Cumulative death rate-0-4yrs,Cumulative death rate-5-19yrs,Cumulative death rate-20-49yrs,Cumulative death rate-50-64yrs,Cumulative death rate-65-74yrs,Cumulative death rate-75+yrs,Cumulative vaccination rate,Cumulative vaccination rate-0-4yrs,Cumulative vaccination rate-5-19yrs,Cumulative vaccination rate-20-49yrs,Cumulative vaccination rate-50-64yrs,Cumulative vaccination rate-65-74yrs,Cumulative vaccination rate-75+yrs,Cumulative death-0-4yrs (%),Cumulative death-5-19yrs (%),Cumulative death-20-49yrs (%),Cumulative death-50-64yrs (%),Cumulative death-65-74yrs (%),Cumulative death-75+yrs (%),Cumulative vaccination-0-4yrs (%),Cumulative vaccination-5-19yrs (%),Cumulative vaccination-20-49yrs (%),Cumulative vaccination-50-64yrs (%),Cumulative vaccination-65-74yrs (%),Cumulative vaccination-75+yrs (%),Simulation Period,Incidence,Incidence-0-4yrs,Incidence-5-19yrs,Incidence-20-49yrs,Incidence-50-64yrs,Incidence-65-74yrs,Incidence-75+yrs,New hospitalizations,Hospitalizations-0-4yrs,Hospitalizations-5-19yrs,Hospitalizations-20-49yrs,Hospitalizations-50-64yrs,Hospitalizations-65-74yrs,Hospitalizations-75+yrs,New hosp-Current,New hosp-Novel,Incidence rate,Incidence rate-0-4yrs,Incidence rate-5-19yrs,Incidence rate-20-49yrs,Incidence rate-50-64yrs,Incidence rate-65-74yrs,Incidence rate-75+yrs,Hospitalization rate,Hospitalization rate-0-4yrs,Hospitalization rate-5-19yrs,Hospitalization rate-20-49yrs,Hospitalization rate-50-64yrs,Hospitalization rate-65-74yrs,Hospitalization rate-75+yrs,% of new hospitalizations due to Current,% of new hospitalizations due to Novel,Incidence-0-4yrs (%),Incidence-5-19yrs (%),Incidence-20-49yrs (%),Incidence-50-64yrs (%),Incidence-65-74yrs (%),Incidence-75+yrs (%),Hospitalizations-0-4yrs (%),Hospitalizations-5-19yrs (%),Hospitalizations-20-49yrs (%),Hospitalizations-50-64yrs (%),Hospitalizations-65-74yrs (%),Hospitalizations-75+yrs (%),Interventions,Observation Time,Obs: Population size,Obs: Cumulative death,Obs: Cumulative vaccination,Obs: Cumulative death rate,Obs: Cumulative vaccination rate,Observation Period,Obs: Incidence,Obs: New hospitalizations,Obs: New hosp-Current,Obs: New hosp-Novel,Obs: Incidence rate,Obs: Hospitalization rate,Obs: % of new hospitalizations due to Current,Obs: % of new hospitalizations due to Novel,Obs: Interventions
0.0,29802,94699,198039,95616,47703,34141,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500003,29803,94700,198040,95616,47703,34141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,,,,,,,,,,,,,,,[0]
0.019230769230769232,29802,94698,198035,95614,47703,34141,0,0,0,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500008,29803,94702,198042,95617,47703,34141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9.999940000359997e-06,3.35536690937154e-05,3.1678986272439285e-05,5.049484952534841e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.6,0.2,0.0,0.0,0.0,,,,,,,[0],0.0,500008,0,0,,,1,5,0,0,0,,,,,[0]
0.038461538461538464,29801,94691,198021,95612,47701,34138,0,0,0,0,0,0,1,0,4,0,15,0,3,0,1,0,2,0,0,0,6,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500017,29803,94706,198047,95617,47703,34141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2,22,0,8,10,2,1,1,0,0,0,0,0,0,0,0,0,4.399929601126382e-05,0.0,8.447551266076746e-05,5.0494339584532574e-05,2.0916782580503466e-05,2.096304215667778e-05,2.929029612489382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.045454545454545456,0.045454545454545456,,,,,,,[0],0.019230769230769232,500017,0,0,0.0,0.0,2,22,0,0,0,4.399929601126382e-05,0.0,,,[0]
0.057692307692307696,29797,94672,197992,95602,47686,34131,0,0,0,0,0,0,4,0,17,0,23,0,7,0,9,0,6,0,0,0,8,0,14,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10,0,22,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500024,29803,94707,198051,95618,47703,34142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3,52,1,8,25,7,7,4,1,0,0,0,0,0,1,1,0,0.00010399646412021992,3.35536690937154e-05,8.447194475534813e-05,0.000126232661943882,7.320873903176213e-05,0.00014674129509674444,0.00011716118449957528,1.9999320023119215e-06,0.0,0.0,0.0,0.0,0.0,2.929029612489382e-05,1.0,0.0,0.019230769230769232,0.15384615384615385,0.4807692307692308,0.1346153846153846,0.1346153846153846,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,[0],0.038461538461538464,500024,0,0,0.0,0.0,3,52,1,1,0,0.00010399646412021992,1.9999320023119215e-06,1.0,0.0,[0]
0.07692307692307693,29786,94632,197894,95563,47663,34120,0,0,0,0,0,0,9,0,29,0,73,0,24,0,17,0,8,0,5,0,16,0,34,0,15,0,11,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,31,0,51,0,16,0,13,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,500029,29803,94708,198053,95618,47704,34143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9998840067276097e-06,0.0,0.0,5.049153509414147e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,4,134,6,29,51,22,16,10,2,0,0,2,0,0,0,2,0,0.00026798713661744237,0.00020132201456229238,0.0003062075664945569,0.0002575094293893997,0.0002300822020958397,0.00033540867450684446,0.00029289438228574774,3.999808009215558e-06,0.0,0.0,1.0098408995662733e-05,0.0,0.0,0.0,1.0,0.0,0.04477611940298507,0.21641791044776118,0.3805970149253731,0.16417910447761194,0.11940298507462686,0.07462686567164178,0.0,0.0,1.0,0.0,0.0,0.0,[0],0.057692307692307696,500029,1,0,1.9998840067276097e-06,0.0,4,134,2,2,0,0.00026798713661744237,3.999808009215558e-06,1.0,0.0,[0]
0.09615384615384616,29762,94544,197740,95489,47618,34091,0,0,0,0,0,0,25,0,58,0,128,0,60,0,34,0,17,0,7,0,37,0,62,0,30,0,21,0,18,0,0,0,0,0,2,0,0,0,1,0,2,0,10,0,70,0,122,0,40,0,30,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,500033,29804,94709,198054,95619,47704,34143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.999868008711425e-06,0.0,0.0,5.049128015591708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,5,262,10,60,103,41,28,20,6,0,0,2,0,3,1,6,0,0.0005239696097626337,0.000335536690937154,0.000633526206867424,0.0005200628114696572,0.00042878955845133764,0.0005869528760690928,0.0005857716076501772,1.1999304040365658e-05,0.0,0.0,1.0098307018828294e-05,0.0,6.288780815025994e-05,2.928858038250886e-05,1.0,0.0,0.03816793893129771,0.22900763358778625,0.3931297709923664,0.15648854961832062,0.10687022900763359,0.07633587786259542,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,[0],0.07692307692307693,500033,1,0,1.999868008711425e-06,0.0,5,262,6,6,0,0.0005239696097626337,1.1999304040365658e-05,1.0,0.0,[0]
0.11538461538461539,29699,94365,197373,95312,47529,34035,0,0,0,0,0,0,45,0,141,0,285,0,143,0,63,0,45,0,29,0,69,0,140,0,67,0,44,0,21,0,0,0,1,0,4,0,1,0,6,0,3,0,31,0,136,0,253,0,96,0,62,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,500037,29804,94712,198055,95619,47704,34143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9998520109511895e-06,0.0,0.0,5.04910252202671e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,6,544,44,102,216,94,60,28,14,0,1,2,2,6,3,14,0,0.0010879281967390152,0.0014763119044423566,0.0010769831800568055,0.0010906116513678089,0.0009830682186594715,0.0012577561630051988,0.0008200802507102481,2.7998152121959952e-05,0.0,1.0558658628007897e-05,1.0098256031183415e-05,2.0916345077861096e-05,0.00012577561630051988,8.786574114752658e-05,1.0,0.0,0.08088235294117647,0.1875,0.39705882352941174,0.17279411764705882,0.11029411764705882,0.051470588235294115,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.21428571428571427,[0],0.09615384615384616,500037,1,0,1.9998520109511895e-06,0.0,6,544,14,14,0,0.0010879281967390152,2.7998152121959952e-05,1.0,0.0,[0]
0.13461538461538464,29601,94038,196649,94962,47355,33888,0,0,0,0,0,0,81,0,261,0,585,0,279,0,141,0,104,0,43,0,151,0,294,0,150,0,60,0,60,0,1,0,1,0,5,0,3,0,6,0,4,0,78,0,261,0,524,0,225,0,142,0,87,0,0,0,0,0,1,0,0,0,1,0,0,0,500040,29804,94712,198057,95619,47704,34143,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3.999680025597952e-06,0.0,0.0,5.0490515356690244e-06,0.0,2.0962602716753314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,,,,,7,1116,62,209,437,218,101,89,18,1,0,6,2,7,2,18,0,0.0022318348442215276,0.002080257683532412,0.0022066897542022132,0.002206457802125672,0.0022798816134868595,0.0021172228743920845,0.0026066836540432885,3.599733619712141e-05,3.355254328278084e-05,0.0,3.0294615132160258e-05,2.0916345077861096e-05,0.0001467382190172732,5.857716076501772e-05,1.0,0.0,0.05555555555555555,0.18727598566308243,0.39157706093189965,0.1953405017921147,0.09050179211469533,0.07974910394265233,0.05555555555555555,0.0,0.3333333333333333,0.1111111111111111,0.3888888888888889,0.1111111111111111,[0],0.11538461538461539,500040,2,0,3.999680025597952e-06,0.0,7,1116,18,18,0,0.0022318348442215276,3.599733619712141e-05,1.0,0.0,[0]
0.15384615384615385,29379,93377,195198,94222,47000,33637,0,0,0,0,0,0,180,0,539,0,1186,0,561,0,279,0,195,0,90,0,281,0,576,0,313,0,157,0,114,0,1,0,1,0,15,0,10,0,13,0,11,0,154,0,513,0,1084,0,514,0,255,0,185,0,0,0,1,0,1,0,0,0,2,0,1,0,500042,29804,94711,198059,95620,47704,34142,5,0,1,1,0,2,1,0,0,0,0,0,0,0,9.999160070554073e-06,0.0,1.0558435662172292e-05,5.04900055034106e-06,0.0,4.192520543350663e-05,2.9289438228574777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,,,,,,,8,2229,126,385,865,467,221,165,46,0,2,13,10,11,10,46,0,0.004457643388528918,0.0042276204536303855,0.004064954810372497,0.004367429578353706,0.004883966575680566,0.004632735200402482,0.004832615763113962,9.19926405887529e-05,0.0,2.1116648365571416e-05,6.563766996369732e-05,0.00010458172538930547,0.00023058862988428643,0.0002928858038250886,1.0,0.0,0.05652759084791386,0.1727231942575146,0.38806639748766264,0.2095109914759982,0.09914759982054733,0.0740242261103634,0.0,0.043478260869565216,0.2826086956521739,0.21739130434782608,0.2391304347826087,0.21739130434782608,[0],0.13461538461538464,500042,5,0,9.999160070554073e-06,0.0,8,2229,46,46,0,0.004457643388528918,9.19926405887529e-05,1.0,0.0,[0]
0.1730769230769231,28908,91915,192285,92823,46239,33108,0,0,0,0,0,0,363,0,1194,0,2315,0,1137,0,600,0,415,0,221,0,543,0,1264,0,564,0,308,0,217,0,1,0,0,0,19,0,16,0,25,0,29,0,311,0,1061,0,2180,0,1080,0,530,0,372,0,0,0,1,0,1,0,0,0,4,0,2,0,500043,29804,94713,198063,95620,47702,34141,8,0,1,1,0,4,2,0,0,0,0,0,0,0,1.5998624118325826e-05,0.0,1.055821270575317e-05,5.048898582774168e-06,0.0,8.385392646010649e-05,5.858059224978764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.5,0.25,,,,,,,9,4551,296,824,1833,833,452,313,86,0,0,14,18,22,32,86,0,0.009101235496218317,0.009931552811703126,0.008700150985629969,0.009254818008775163,0.008711566617862371,0.009475096427972497,0.009167594165543904,0.00017198555321353007,0.0,0.0,7.068600770477484e-05,0.00018824513700062747,0.00046117725976857287,0.0009372620233143929,1.0,0.0,0.06504065040650407,0.18105910788837618,0.4027686222808174,0.18303669523181718,0.0993188310261481,0.06877609316633707,0.0,0.0,0.16279069767441862,0.20930232558139536,0.2558139534883721,0.37209302325581395,[0],0.15384615384615385,500043,8,0,1.5998624118325826e-05,0.0,9,4551,86,86,0,0.009101235496218317,0.00017198555321353007,1.0,0.0,[0]
